stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,stop_timezone,wheelchair_boarding
3022,,Ca' Bianca  (Case Ina),,45.193424,12.199010,,,,,,
3023,,Ca' Bianca  (Dist. Api),,45.193077,12.201556,,,,,,
3024,,Ca' Bianca  (Dist. Api),,45.193401,12.201388,,,,,,
3025,,Ca' Bianca  (Chiesa),,45.192219,12.203691,,,,,,
3026,,Ca' Bianca  (Chiesa),,45.192413,12.203590,,,,,,
3027,,Civico 17 - A  Ca' Amelia,,45.188992,12.211341,,,,,,
3028,,Civico 17 - A  Ca' Amelia,,45.189217,12.211221,,,,,,
3029,,Civico 11 A  Ca' Amelia,,45.187218,12.220752,,,,,,
3030,,Civico 11 A,,45.187271,12.220773,,,,,,
3031,,Tenuta Erizzi,,45.185558,12.227914,,,,,,
3032,,Tenuta Erizzi,,45.185722,12.228088,,,,,,
3033,,via Torre di Bebe,,45.183624,12.239298,,,,,,
3034,,via Torre di Bebe,,45.183578,12.239490,,,,,,
3035,,Civico 49 v.Torre di Bebe,,45.169395,12.237123,,,,,,
3036,,Civico 49 v.Torre di Bebe,,45.169384,12.237401,,,,,,
3037,,Incr. Strada Dolfina,,45.155823,12.209779,,,,,,
3038,,Incr. Strada Dolfina,,45.155735,12.209944,,,,,,
3039,,S. Gaetano,,45.148018,12.190057,,,,,,
3040,,S. Gaetano,,45.147945,12.190311,,,,,,
3041,,Km 9,,45.143009,12.174773,,,,,,
3042,,Km 9,,45.142857,12.174920,,,,,,
3043,,Chiosco Al Ponte,,45.133186,12.151216,,,,,,
3044,,Chiosco Al Ponte,,45.133053,12.151361,,,,,,
3045,,Localita' Braghetta,,45.132996,12.139555,,,,,,
3046,,Localita' Braghetta,,45.132885,12.139610,,,,,,
3047,,Dolfina - centro,,45.153801,12.208898,,,,,,
3049,,Km 13,,45.141441,12.206133,,,,,,
3051,,Civico 9 - Silos,,45.131020,12.200368,,,,,,
3053,,dopo Silos,,45.121864,12.199300,,,,,,
3055,,S. Pietro,,45.115273,12.187980,,,,,,
3057,,Prima dopo S.Pietro,,45.112099,12.191257,,,,,,
3058,,Prima prima di S.Pietro,,45.112274,12.191451,,,,,,
3059,,Seconda prima di S.Pietro,,45.105740,12.206141,,,,,,
3060,,Seconda prima di S.Pietro,,45.105953,12.206183,,,,,,
3061,,Prima di Cavanella,,45.105591,12.222574,,,,,,
3062,,dopo Cavanella,,45.105721,12.222643,,,,,,
3063,,Cavanella D' Adige,,45.109257,12.246865,,,,,,
3064,,Cavanella D' Adige,,45.109169,12.245553,,,,,,
3065,,Civico 26  - Cavanella,,45.113926,12.250803,,,,,,
3066,,Civico 26  - Cavanella,,45.113689,12.250501,,,,,,
3067,,Sport 2000,,45.115967,12.252334,,,,,,
3068,,Sport 2000,,45.116379,12.252308,,,,,,
3069,,Rist. Baldin,,45.127190,12.257689,,,,,,
3070,,Rist. Baldin,,45.127041,12.257287,,,,,,
3071,,Civico 46  (Casello),,45.131187,12.259703,,,,,,
3072,,Civico 46  (Casello),,45.131199,12.259507,,,,,,
3073,,Rist. Al Bragosso,,45.139973,12.264314,,,,,,
3074,,Rist. Al Bragosso,,45.139927,12.264016,,,,,,
3075,,S.Anna (v.Primavera),,45.141941,12.265545,,,,,,
3076,,S.Anna (v.Primavera),,45.142353,12.265181,,,,,,
3077,,S. Anna,,45.146671,12.267829,,,,,,
3078,,S. Anna,,45.145649,12.266993,,,,,,
3079,,Rist. Da Franco,,45.152374,12.270790,,,,,,
3080,,Rist. Da Franco,,45.152176,12.270442,,,,,,
3081,,Incr. Ca' Lino,,45.158108,12.272101,,,,,,
3082,,Incr. Ca' Lino,,45.157623,12.271881,,,,,,
3083,,Distributore  IP,,45.168549,12.274228,,,,,,
3084,,Distributore  IP,,45.168457,12.274000,,,,,,
3085,,Incr. Vecchia Romea,,45.174629,12.275740,,,,,,
3086,,Incr. Vecchia Romea,,45.174706,12.275588,,,,,,
3087,,Civico 6  (Incr. Romea),,45.178238,12.278865,,,,,,
3088,,Civico 6  (Incr. Romea),,45.178398,12.278578,,,,,,
3089,,Civico 20,,45.177555,12.284959,,,,,,
3090,,Civico 20,,45.177750,12.284582,,,,,,
3091,,Civico 92,,45.177368,12.287667,,,,,,
3092,,Civico 92,,45.177387,12.288013,,,,,,
3093,,Civico 78,,45.172729,12.290546,,,,,,
3094,,Civico 78,,45.172634,12.290963,,,,,,
3095,,Civico 64,,45.170811,12.292748,,,,,,
3096,,Civico 64,,45.170948,12.293066,,,,,,
3097,,Incr. via 1 Maggio,,45.164536,12.297320,,,,,,
3098,,Incr. via 1 Maggio,,45.164688,12.297550,,,,,,
3099,,Ca' Lino,,45.160069,12.299335,,,,,,
3100,,Ca' Lino,,45.160221,12.299539,,,,,,
3101,,Corte Colmello,,45.159306,12.307200,,,,,,
3102,,Corte Colmello,,45.159538,12.307345,,,,,,
3103,,Camping Isamar,,45.163296,12.322385,,,,,,
3104,,Camping Isamar,,45.163223,12.321985,,,,,,
3105,,Isaresidence,,45.167912,12.324944,,,,,,
3106,,Isaresidence,,45.167618,12.324591,,,,,,
3107,,Istituto Professionale,,45.171391,12.322121,,,,,,
3108,,Civico 7  (scuole),,45.171146,12.322104,,,,,,
3109,,Isola Verde - Capolinea,,45.174793,12.318967,,,,,,
3110,,Rist. Bella Laguna,,45.183903,12.248857,,,,,,
3111,,Rist. Bella Laguna,,45.184074,12.249126,,,,,,
3112,,Darsena,,45.183239,12.265562,,,,,,
3113,,Darsena,,45.183369,12.265626,,,,,,
3114,,Clodia Frigo,,45.184746,12.271538,,,,,,
3115,,Clodia Frigo,,45.184883,12.271551,,,,,,
3118,,Ponte delle Trezze,,45.215416,12.224485,,,,,,
3119,,Ponte delle Trezze,,45.215282,12.224211,,,,,,
3120,,Valfiore,,45.220051,12.212941,,,,,,
3121,,Valfiore,,45.219917,12.212667,,,,,,
3143,,Mira - Stazione FS,,45.427265,12.138959,,,,,,
3145,,Borgo San Giovanni Park,,45.207760,12.275805,,,,,,
3146,,Mercato Ortofrutticolo,,45.185062,12.276017,,,,,,
3255,,C.Comm. Auchan,,45.512432,12.228024,,,,,,
3267,,Sottomarina capolinea,,45.212502,12.291675,,,,,,
3269,,Sul ponte,,45.218418,12.281683,,,,,,
3270,,Prima del ponte,,45.218456,12.280875,,,,,,
3271,,Isola Dell' Unione,,45.216511,12.287815,,,,,,
3272,,Istituto Magistrale,,45.216297,12.287809,,,,,,
3273,,Linee frazioni,,45.217289,12.284217,,,,,,
3274,,Terminal Is.Unione,,45.217236,12.284381,,,,,,
3275,,Terminal Is.Unione,,45.217258,12.284185,,,,,,
3276,,Terminal Is.Unione,,45.217197,12.284346,,,,,,
3280,,Civico 24,,45.217026,12.292926,,,,,,
3283,,Scuole,,45.212952,12.291872,,,,,,
3284,,Civico 13,,45.212872,12.291975,,,,,,
3286,,Civico 253,,45.210602,12.290992,,,,,,
3290,,Parco Giochi Clodia,,45.213375,12.295331,,,,,,
3291,,Incr. V.le Veneto,,45.215271,12.295131,,,,,,
3292,,Balneare Sirenella,,45.217850,12.295119,,,,,,
3293,,Hotel Metropole,,45.218281,12.294814,,,,,,
3294,,Hotel Pineta,,45.216869,12.294754,,,,,,
3295,,Hotel Ambasciatori,,45.214191,12.294913,,,,,,
3301,,Arcobaleno Parco Giochi,,45.200603,12.301042,,,,,,
3302,,Fronte Camping Adriatico,,45.204060,12.299804,,,,,,
3303,,Bagni Canarin,,45.206120,12.298916,,,,,,
3304,,Bagni Pagoda,,45.207752,12.298079,,,,,,
3305,,Camping Europa,,45.210365,12.296090,,,,,,
3306,,Caserma Carabinieri,,45.210197,12.295655,,,,,,
3307,,Incr. v.le Tirreno,,45.207237,12.298009,,,,,,
3308,,Parcheggio auto,,45.205589,12.298638,,,,,,
3309,,Hotel Park  (Edicola),,45.203598,12.299504,,,,,,
3310,,Dancing Caraibi,,45.200985,12.300509,,,,,,
3311,,Civico 66,,45.198521,12.298785,,,,,,
3312,,Civico 21  (Hotel Sole),,45.198315,12.299032,,,,,,
3313,,Incr. via Da Verrazzano,,45.197784,12.295330,,,,,,
3314,,Incr. via Zeno,,45.197468,12.292822,,,,,,
3315,,Civico 464  (v.Sambuco),,45.197159,12.288358,,,,,,
3316,,Civico 596  (v.Robina),,45.196945,12.285506,,,,,,
3317,,Incr. via Celsi,,45.196587,12.284603,,,,,,
3318,,Civico 454  (v.Schiavo),,45.196907,12.288362,,,,,,
3319,,Civico 539,,45.197128,12.291336,,,,,,
3320,,Civico 159  (Farmacia),,45.197453,12.295098,,,,,,
3321,,Civico 471  (Ospedale),,45.197990,12.284912,,,,,,
3322,,Ospedale,,45.198174,12.284721,,,,,,
3323,,Civico 387,,45.200905,12.286357,,,,,,
3324,,Civico 388  (Ina Case),,45.201885,12.286516,,,,,,
3325,,Cimitero,,45.203949,12.287828,,,,,,
3327,,Fossetta,,45.197289,12.279435,,,,,,
3328,,Fossetta,,45.196995,12.279350,,,,,,
3329,,Incr.v.De Gasperi,,45.199760,12.277104,,,,,,
3330,,Incr. via Nenni,,45.201569,12.277127,,,,,,
3331,,Civico 581  (Uff.ACTV),,45.203831,12.276864,,,,,,
3332,,Civico 517 (v.Berlinguer),,45.206112,12.276293,,,,,,
3333,,Stazione FS,,45.210377,12.276137,,,,,,
3334,,Stadio,,45.211983,12.276491,,,,,,
3335,,Campo Marconi,,45.215900,12.277479,,,,,,
3336,,Civico 1214,,45.218342,12.278408,,,,,,
3337,,Civico 1227,,45.218960,12.278435,,,,,,
3341,,Chioggia FS,,45.209911,12.275804,,,,,,
3342,,Istituto Ragioneria,,45.206326,12.275982,,,,,,
3343,,Civico 490  (Distr.Q8),,45.203667,12.276521,,,,,,
3344,,Civico 764  (Tabacchi),,45.201027,12.276958,,,,,,
3345,,Sotto Cavalcavia,,45.198124,12.276805,,,,,,
3347,,R.Madonna,,45.195374,12.282276,,,,,,
3348,,Civico 24,,45.192554,12.281245,,,,,,
3349,,Civico 137,,45.190075,12.280211,,,,,,
3350,,Coop Agricola,,45.187515,12.279625,,,,,,
3351,,Brondolo Centro,,45.184525,12.278491,,,,,,
3352,,Incr. Brondolo,,45.184624,12.278691,,,,,,
3353,,Coop Agricola v.Dolfina,,45.187389,12.279753,,,,,,
3354,,Latte Busche,,45.189903,12.280394,,,,,,
3355,,Civico 65,,45.192768,12.281530,,,,,,
3356,,R. Madonna,,45.195351,12.282332,,,,,,
3364,,Scuole,,45.570213,12.109863,,,,,,
3365,,Scuole,,45.569778,12.109753,,,,,,
3378,,Zona Indust. - Capolinea,,45.531563,11.963092,,,,,,
3381,,Pensione Lido,,45.218899,12.293324,,,,,,
3382,,Mogliano Municipio,,45.561337,12.235728,,,,,,
3384,,Civico 36,,45.520802,12.153378,,,,,,
3385,,Civico 49,,45.520252,12.153614,,,,,,
3388,,Incr. via Lancerotto,,45.547005,12.078978,,,,,,
3389,,Falegn. Semenzato,,45.494320,12.127540,,,,,,
3390,,Falegn. Semenzato,,45.493893,12.127678,,,,,,
3398,,Consorzio Mira,,45.432987,12.139830,,,,,,
3399,,Cavarzere Z.I.,,45.142918,12.086387,,,,,,
3400,,Cavarzere Z.I.,,45.144924,12.083512,,,,,,
3401,,Cavarzere Z.I.,,45.144806,12.083382,,,,,,
3402,,Cavarzere Z.I.,,45.144371,12.080333,,,,,,
3403,,C.Comm. La Piazza,,45.504753,12.285292,,,,,,
3404,,Favaro C.Comm.La Piazza,,45.503983,12.285963,,,,,,
3406,,Prima del ponte,,45.154285,12.007204,,,,,,
3407,,Oriago  (Rist. Vettore),,45.453426,12.177616,,,,,,
3408,,Mirano Ospedale,,45.497967,12.117122,,,,,,
3410,,Incr. V.le Treviso,,45.498295,12.118950,,,,,,
3413,,Veritas,,45.486923,12.277611,,,,,,
3414,,Vigonovo Centro,,45.386471,12.007780,,,,,,
3415,,Vigonovo Centro,,45.386414,12.007277,,,,,,
3416,,Vigonovo - Capolinea,,45.389065,12.005025,,,,,,
3417,,Civico 9,,45.375935,12.006094,,,,,,
3418,,Civico 9,,45.376095,12.005960,,,,,,
3421,,Celeseo - Capolinea,,45.371250,12.012600,,,,,,
3423,,Mira Municipio,,45.433491,12.125757,,,,,,
3425,,Calcroci,,45.385117,12.096265,,,,,,
3426,,Calcroci,,45.384983,12.096462,,,,,,
3427,,Prozzolo Ferrovia,,45.368885,12.093080,,,,,,
3430,,S. Pietro - Centro,,45.115696,12.185645,,,,,,
3432,,Casello 12 Loc.Musatti,,45.426563,12.103056,,,,,,
3433,,Capitello Albrizzi,,45.431164,12.111123,,,,,,
3434,,Mira Centro,,45.433361,12.121996,,,,,,
3435,,Stazione FS di Oriago,,45.448948,12.166125,,,,,,
3436,,Oriago Centro,,45.451851,12.171876,,,,,,
